Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%),Net Job Change,Percent Job Change,AI Impact Score,Career Stability Index,Median Salary Norm,High-Opportunity Career Score
Clinical Molecular Geneticist,Manufacturing,Decreasing,Moderate,128158.28,Associate Degree,15,5637,2735,24.02,44.8,India,29.19,-2902,-51.48,2,-28.42,0.82,0.21
Special Effects Artist,Healthcare,Decreasing,Moderate,95367.18,Phd,19,1700,4775,16.21,30.48,China,45.33,3075,180.88,2,125.75,0.54,1.1
Medical Secretary,Finance,Decreasing,Low,92889.11,Bachelor’S Degree,1,1531,7418,80.35,22.49,China,43.58,5887,384.52,1,298.04,0.52,1.93
Facilities Manager,Entertainment,Increasing,Moderate,100296.98,Bachelor’S Degree,15,3093,4779,94.8,16.09,Germany,52.64,1686,54.51,2,45.74,0.59,0.65
Psychiatric Nurse,Retail,Increasing,Low,119901.2,Bachelor’S Degree,8,3390,2635,18.57,12.35,India,41.53,-755,-22.27,1,-19.52,0.75,0.4
Immunologist,Transportation,Decreasing,Moderate,32429.2,High School,18,9569,6481,5.25,85.04,Usa,41.69,-3088,-32.27,2,-4.83,0.02,-0.08
Charity Officer,Healthcare,Decreasing,Moderate,59229.18,Master’S Degree,2,8621,7699,42.74,78.52,India,44.8,-922,-10.69,2,-2.3,0.24,0.09
Film/Video Editor,Entertainment,Decreasing,High,91635.24,Bachelor’S Degree,8,7733,2603,48.97,75.24,India,74.45,-5130,-66.34,3,-16.43,0.51,-0.04
"Therapist, Music",Education,Increasing,Moderate,98049.06,Master’S Degree,5,3751,465,14.02,9.23,Germany,38.36,-3286,-87.6,2,-79.52,0.57,0.09
Herbalist,Manufacturing,Increasing,Low,147226.31,High School,5,1672,9142,90.38,43.42,China,41.01,7470,446.77,1,252.78,0.98,2.25
Comptroller,Entertainment,Decreasing,Moderate,148003.45,Bachelor’S Degree,0,8332,3713,13.1,91.01,Australia,26.13,-4619,-55.44,2,-4.98,0.98,0.1
Film/Video Editor,Retail,Increasing,Low,116896.25,High School,4,7520,8730,12.88,3.64,Uk,28.53,1210,16.09,1,15.5,0.72,0.57
Systems Developer,Transportation,Decreasing,High,42876.0,Phd,17,9673,2057,44.33,37.87,Brazil,63.95,-7616,-78.73,3,-48.92,0.11,-0.1
Jewellery Designer,Education,Increasing,High,133657.87,Bachelor’S Degree,10,8156,9311,50.85,78.05,India,20.88,1155,14.16,3,3.11,0.86,0.38
Bookseller,Manufacturing,Increasing,High,144035.24,Bachelor’S Degree,7,4865,5227,68.48,80.16,Uk,35.92,362,7.44,3,1.48,0.95,0.37
Animal Technologist,Healthcare,Increasing,Low,112785.85,Associate Degree,0,5590,1427,87.52,42.54,Usa,36.54,-4163,-74.47,1,-42.79,0.69,0.08
"Editor, Commissioning",Entertainment,Increasing,High,127572.43,Master’S Degree,11,1779,1103,18.21,42.82,Usa,49.2,-676,-38.0,3,-21.73,0.81,0.26
Field Seismologist,Healthcare,Increasing,Moderate,91044.7,Bachelor’S Degree,3,9467,753,72.86,39.74,Brazil,77.07,-8714,-92.05,2,-55.47,0.51,-0.03
"Therapist, Speech And Language",Finance,Decreasing,High,123818.24,High School,0,4355,3505,44.3,76.12,Australia,23.57,-850,-19.52,3,-4.66,0.78,0.23
Education Administrator,Finance,Increasing,Low,94213.51,Bachelor’S Degree,8,1262,3756,1.51,20.73,Brazil,33.69,2494,197.62,1,156.66,0.54,1.19
Research Scientist (Life Sciences),Manufacturing,Increasing,High,50576.48,High School,4,6559,8873,14.48,39.09,Usa,57.7,2314,35.28,3,21.49,0.17,0.38
"Sound Technician, Broadcasting/Film/Video",Retail,Decreasing,Low,47333.88,Phd,14,3454,6650,97.74,53.21,Australia,28.92,3196,92.53,1,43.29,0.14,0.55
Clinical Embryologist,Transportation,Decreasing,High,131231.77,Bachelor’S Degree,6,9083,8270,37.0,60.42,Germany,41.65,-813,-8.95,3,-3.54,0.84,0.34
Electrical Engineer,Education,Increasing,Low,124893.73,Master’S Degree,1,2486,2909,62.59,37.07,Brazil,64.23,423,17.02,1,10.71,0.79,0.49
Estate Manager/Land Agent,Retail,Increasing,Moderate,45999.4,High School,14,4485,5670,52.88,34.46,Usa,22.86,1185,26.42,2,17.32,0.13,0.34
Tourist Information Centre Manager,Entertainment,Decreasing,Moderate,149690.01,Associate Degree,19,7957,5094,67.9,28.11,Brazil,67.12,-2863,-35.98,2,-25.87,1.0,0.37
Armed Forces Operational Officer,Manufacturing,Decreasing,Moderate,77280.67,Phd,19,1416,2155,11.19,5.44,Germany,77.41,739,52.19,2,49.35,0.39,0.61
Materials Engineer,Finance,Decreasing,High,119932.98,Bachelor’S Degree,2,2820,3401,85.11,66.32,Canada,23.54,581,20.6,3,6.94,0.75,0.41
"Psychologist, Prison And Probation Services",Entertainment,Decreasing,Low,45778.78,High School,15,1455,1354,85.16,61.44,Brazil,40.92,-101,-6.94,1,-2.68,0.13,0.13
Hospital Doctor,Finance,Increasing,Low,81722.69,Phd,18,6128,5928,62.02,29.49,Uk,35.59,-200,-3.26,1,-2.3,0.43,0.33
Education Administrator,Education,Increasing,Low,75595.84,Master’S Degree,11,291,5027,43.77,53.81,Canada,23.3,4736,1627.49,1,751.74,0.38,6.76
Product/Process Development Scientist,Retail,Decreasing,Moderate,100610.2,Associate Degree,3,2269,1202,50.08,18.68,Australia,20.53,-1067,-47.03,2,-38.24,0.59,0.23
Retail Manager,Finance,Decreasing,Moderate,149988.71,Master’S Degree,19,4003,5187,79.85,35.45,Brazil,36.67,1184,29.58,2,19.09,1.0,0.61
Advertising Account Executive,It,Increasing,Moderate,74242.9,High School,12,5581,2118,11.4,95.56,Australia,78.85,-3463,-62.05,2,-2.76,0.37,-0.12
Microbiologist,Retail,Decreasing,Moderate,42351.69,High School,17,1575,9949,55.61,48.4,China,32.25,8374,531.68,2,274.35,0.1,2.31
Intelligence Analyst,Healthcare,Increasing,Low,67232.91,Bachelor’S Degree,4,7964,1862,56.66,63.04,Usa,39.96,-6102,-76.62,1,-28.32,0.31,-0.1
"Scientist, Physiological",Entertainment,Decreasing,High,137724.18,Phd,11,4510,841,42.99,75.13,India,37.03,-3669,-81.35,3,-20.23,0.9,0.02
"Administrator, Education",Healthcare,Decreasing,Low,71504.21,Bachelor’S Degree,5,3220,5995,22.46,38.97,India,64.68,2775,86.18,1,52.6,0.35,0.63
Community Arts Worker,Retail,Increasing,High,127993.65,High School,0,2888,6669,49.2,50.8,Germany,38.13,3781,130.92,3,64.41,0.82,0.92
Dealer,It,Increasing,Moderate,56065.9,Associate Degree,4,1830,3882,81.53,40.74,Canada,71.7,2052,112.13,2,66.45,0.22,0.69
Ranger/Warden,Retail,Decreasing,High,124923.73,High School,15,7002,6757,10.87,42.98,India,27.74,-245,-3.5,3,-2.0,0.79,0.39
Administrator,Finance,Increasing,High,142682.55,High School,14,6987,7223,52.27,67.8,India,64.18,236,3.38,3,1.09,0.94,0.39
Multimedia Programmer,Healthcare,Decreasing,Moderate,143720.41,Bachelor’S Degree,14,9105,4187,88.65,48.55,Usa,68.9,-4918,-54.01,2,-27.79,0.95,0.22
"Engineer, Land",Finance,Decreasing,Low,78399.54,High School,10,9242,5610,93.22,46.55,Brazil,45.41,-3632,-39.3,1,-21.01,0.4,0.12
Building Services Engineer,Entertainment,Increasing,Low,56280.31,Phd,9,5099,290,66.95,31.39,Uk,38.34,-4809,-94.31,1,-64.71,0.22,-0.11
Health And Safety Adviser,Transportation,Decreasing,High,101390.63,High School,3,3751,1121,50.77,57.88,Uk,60.46,-2630,-70.11,3,-29.53,0.59,0.02
"Lecturer, Further Education",Entertainment,Decreasing,High,146780.54,Phd,7,3871,4344,45.11,28.29,Uk,34.43,473,12.22,3,8.76,0.97,0.56
Computer Games Developer,Transportation,Decreasing,Low,87256.2,High School,11,2603,4546,41.74,69.46,India,34.09,1943,74.64,1,22.8,0.48,0.53
"Surveyor, Planning And Development",It,Decreasing,High,131612.08,Associate Degree,7,7050,7406,18.61,56.0,Brazil,64.47,356,5.05,3,2.22,0.85,0.41
"Psychologist, Counselling",Healthcare,Decreasing,Moderate,54226.92,High School,1,2172,5795,30.31,1.22,Usa,71.93,3623,166.8,2,164.77,0.2,1.02
"Psychologist, Counselling",Retail,Increasing,Low,75631.38,Phd,20,1539,9464,12.11,27.08,India,43.07,7925,514.94,1,375.5,0.38,2.39
Chief Of Staff,Retail,Decreasing,Moderate,32630.39,Associate Degree,18,4329,1181,9.47,29.82,India,25.03,-3148,-72.72,2,-51.03,0.02,-0.07
Quarry Manager,Manufacturing,Decreasing,High,30561.73,High School,0,7995,3087,16.83,49.95,Uk,35.93,-4908,-61.39,3,-30.72,0.0,-0.09
Estate Agent,Finance,Decreasing,Moderate,91045.69,Bachelor’S Degree,14,2267,1266,46.94,87.43,Germany,36.11,-1001,-44.16,2,-5.55,0.51,0.01
Armed Forces Operational Officer,Education,Decreasing,High,92252.35,Bachelor’S Degree,18,1844,9497,64.64,78.82,Usa,63.27,7653,415.02,3,87.9,0.52,1.88
Dentist,Healthcare,Increasing,High,100489.77,High School,10,3794,4040,47.76,82.55,Germany,49.35,246,6.48,3,1.13,0.59,0.25
Multimedia Specialist,Healthcare,Increasing,High,147225.02,Associate Degree,18,5073,6818,53.5,20.0,Brazil,76.24,1745,34.4,3,27.52,0.98,0.67
Call Centre Manager,Finance,Increasing,Low,97572.13,Bachelor’S Degree,15,252,7093,89.22,68.75,Australia,79.33,6841,2714.68,1,848.34,0.56,11.12
"Administrator, Local Government",Finance,Increasing,Moderate,70498.32,Master’S Degree,8,1007,7856,93.98,32.69,India,35.45,6849,680.14,2,457.8,0.34,3.02
Exhibition Designer,Transportation,Increasing,Moderate,37469.28,Phd,20,8319,6223,92.12,7.64,China,28.85,-2096,-25.2,2,-23.27,0.06,0.19
"Scientist, Water Quality",Healthcare,Increasing,Low,140292.94,Phd,9,2561,568,29.74,62.74,Germany,36.35,-1993,-77.82,1,-29.0,0.92,0.08
"Education Officer, Environmental",Retail,Decreasing,Moderate,43770.73,Bachelor’S Degree,2,5296,2673,25.99,24.68,Brazil,51.81,-2623,-49.53,2,-37.3,0.11,0.06
Psychotherapist,Transportation,Decreasing,Moderate,75919.9,Associate Degree,9,3451,6526,21.36,23.09,Canada,64.05,3075,89.1,2,68.53,0.38,0.7
Patent Examiner,Healthcare,Increasing,High,42924.94,High School,5,9097,8827,23.98,10.2,Germany,44.08,-270,-2.97,3,-2.67,0.11,0.29
"Pharmacist, Hospital",It,Increasing,High,121725.0,High School,1,8679,5269,55.47,10.91,Canada,61.18,-3410,-39.29,3,-35.0,0.76,0.34
"Restaurant Manager, Fast Food",Transportation,Increasing,High,34226.63,Associate Degree,4,1270,2703,46.01,58.63,Brazil,60.87,1433,112.83,3,46.68,0.04,0.59
"Doctor, General Practice",It,Decreasing,Moderate,114153.83,Associate Degree,5,4268,9389,68.75,1.28,Canada,37.35,5121,119.99,2,118.45,0.7,0.99
Retail Buyer,Education,Increasing,Moderate,107447.49,High School,12,4317,1531,26.1,72.29,Uk,33.56,-2786,-64.54,2,-17.88,0.65,0.02
Chief Of Staff,Finance,Decreasing,High,125097.13,Master’S Degree,15,5190,6121,54.19,56.48,Australia,25.24,931,17.94,3,7.81,0.79,0.44
Warden/Ranger,Healthcare,Decreasing,Moderate,149346.49,Phd,1,5739,7157,53.9,45.71,Germany,36.46,1418,24.71,2,13.41,0.99,0.56
"Scientist, Research (Physical Sciences)",Manufacturing,Increasing,High,109503.41,High School,3,6724,3032,60.71,49.17,Canada,69.99,-3692,-54.91,3,-27.91,0.66,0.13
Restaurant Manager,Entertainment,Decreasing,High,133407.44,Master’S Degree,19,2744,5817,27.3,13.98,Usa,42.34,3073,111.99,3,96.33,0.86,0.96
Ergonomist,Retail,Decreasing,Moderate,72100.69,Associate Degree,3,9349,1561,45.15,99.8,India,65.12,-7788,-83.3,2,-0.17,0.35,-0.23
Printmaker,Retail,Decreasing,High,89633.82,Bachelor’S Degree,1,8936,6767,70.49,48.27,Germany,53.99,-2169,-24.27,3,-12.56,0.5,0.21
Physiotherapist,Manufacturing,Increasing,High,103887.88,Bachelor’S Degree,9,5400,5809,86.94,22.77,Uk,51.64,409,7.57,3,5.85,0.62,0.45
Mudlogger,Education,Decreasing,Low,55085.03,High School,4,1971,3403,96.9,74.01,Canada,55.67,1432,72.65,1,18.88,0.21,0.43
Chiropractor,Manufacturing,Increasing,High,98717.32,High School,20,7585,1016,3.6,17.56,Usa,56.19,-6569,-86.61,3,-71.4,0.57,0.07
"Education Officer, Environmental",Retail,Decreasing,High,88833.86,Associate Degree,11,4558,5158,62.61,91.47,India,72.64,600,13.16,3,1.12,0.49,0.23
Retail Buyer,Healthcare,Increasing,High,61467.13,Master’S Degree,0,6329,9617,88.74,19.56,Australia,71.17,3288,51.95,3,41.79,0.26,0.53
Health Physicist,Healthcare,Increasing,Low,37098.17,High School,9,5210,3092,42.29,73.92,China,51.28,-2118,-40.65,1,-10.6,0.06,-0.07
Futures Trader,Manufacturing,Increasing,High,76503.91,Master’S Degree,12,5813,5419,92.74,30.86,Canada,51.64,-394,-6.78,3,-4.69,0.39,0.3
Historic Buildings Inspector/Conservation Officer,Manufacturing,Decreasing,Low,111722.91,Phd,18,6220,9226,64.08,35.69,China,44.42,3006,48.33,1,31.08,0.68,0.59
Food Technologist,Manufacturing,Increasing,Moderate,66683.48,Associate Degree,15,3460,9892,88.95,39.17,Canada,42.42,6432,185.9,2,113.08,0.31,1.02
"Engineer, Automotive",Manufacturing,Decreasing,Low,106586.68,Associate Degree,17,6489,3208,34.09,81.17,Canada,42.15,-3281,-50.56,1,-9.52,0.64,0.05
Petroleum Engineer,Healthcare,Increasing,Low,135613.28,Bachelor’S Degree,14,3019,1125,47.57,45.6,Australia,49.45,-1894,-62.74,1,-34.13,0.88,0.18
It Consultant,Retail,Decreasing,Low,31676.08,Bachelor’S Degree,6,6742,2810,49.47,90.12,Canada,23.03,-3932,-58.32,1,-5.76,0.01,-0.2
"Engineer, Drilling",Finance,Decreasing,Low,38384.23,High School,4,3560,1345,83.69,70.64,Usa,20.95,-2215,-62.22,1,-18.27,0.07,-0.14
Medical Sales Representative,Healthcare,Increasing,Moderate,123032.23,Bachelor’S Degree,18,6639,5791,35.77,92.86,Brazil,68.11,-848,-12.77,2,-0.91,0.78,0.2
Academic Librarian,Manufacturing,Decreasing,High,124638.1,Bachelor’S Degree,8,1110,7945,72.75,21.07,Australia,38.86,6835,615.77,3,486.02,0.79,2.94
Magazine Journalist,Healthcare,Increasing,Moderate,78029.51,Bachelor’S Degree,12,9526,4844,27.61,97.07,India,55.92,-4682,-49.15,2,-1.44,0.4,-0.07
"Sound Technician, Broadcasting/Film/Video",Retail,Decreasing,Low,99060.61,Phd,17,5726,4290,4.62,20.94,India,59.9,-1436,-25.08,1,-19.83,0.58,0.31
"Scientist, Clinical (Histocompatibility And Immunogenetics)",Transportation,Decreasing,Moderate,98104.06,High School,13,8315,5025,48.24,38.43,India,78.2,-3290,-39.57,2,-24.36,0.57,0.2
Futures Trader,Retail,Decreasing,Low,128986.83,Bachelor’S Degree,13,8695,7886,6.4,78.54,Canada,38.53,-809,-9.3,1,-2.0,0.82,0.27
It Trainer,Entertainment,Increasing,High,130176.22,Master’S Degree,17,9362,3400,26.11,70.2,Germany,62.82,-5962,-63.68,3,-18.98,0.83,0.09
Health And Safety Inspector,Retail,Increasing,Moderate,86819.37,High School,10,9189,9388,28.11,49.27,Brazil,55.78,199,2.17,2,1.1,0.47,0.3
Control And Instrumentation Engineer,Entertainment,Decreasing,Moderate,79981.6,Associate Degree,3,8344,6055,30.12,9.62,Uk,64.58,-2289,-27.43,2,-24.79,0.42,0.29
"Designer, Blown Glass/Stained Glass",Education,Increasing,High,67807.13,Phd,7,7535,3761,85.26,79.61,Australia,20.51,-3774,-50.09,3,-10.21,0.32,-0.04
"Education Officer, Museum",Finance,Decreasing,High,114976.69,Bachelor’S Degree,13,8504,1681,36.13,28.78,China,30.19,-6823,-80.23,3,-57.14,0.71,0.11
Copy,Transportation,Increasing,Moderate,136828.43,Associate Degree,6,8851,8811,58.57,78.31,China,42.88,-40,-0.45,2,-0.1,0.89,0.33
Further Education Lecturer,Retail,Decreasing,Moderate,74990.57,Master’S Degree,19,4316,2210,40.09,34.01,Usa,40.16,-2106,-48.8,2,-32.2,0.37,0.12
Outdoor Activities/Education Manager,Healthcare,Decreasing,Moderate,90049.99,High School,12,7932,360,3.93,46.67,Canada,58.87,-7572,-95.46,2,-50.91,0.5,-0.07
Biomedical Scientist,Healthcare,Increasing,Moderate,51514.84,High School,5,9707,4455,23.56,87.46,Uk,65.54,-5252,-54.11,2,-6.78,0.18,-0.13
Public Relations Account Executive,Manufacturing,Decreasing,Moderate,115302.02,Bachelor’S Degree,13,9585,2063,3.95,10.83,Canada,77.4,-7522,-78.48,2,-69.98,0.71,0.17
Chartered Loss Adjuster,Retail,Decreasing,Low,125854.43,Associate Degree,20,2548,4124,67.89,99.38,Canada,25.53,1576,61.85,1,0.38,0.8,0.49
Cytogeneticist,Retail,Increasing,Low,105960.98,Master’S Degree,10,2262,1886,73.27,40.97,China,56.74,-376,-16.62,1,-9.81,0.63,0.3
"Lighting Technician, Broadcasting/Film/Video",Education,Decreasing,High,139287.5,Associate Degree,5,7775,1858,41.79,0.24,China,35.61,-5917,-76.1,3,-75.92,0.91,0.27
"Accountant, Chartered Certified",Transportation,Increasing,High,147876.43,Phd,6,1160,4845,1.7,94.09,Canada,61.4,3685,317.67,3,18.77,0.98,1.58
Fitness Centre Manager,It,Decreasing,Moderate,32452.53,Bachelor’S Degree,18,1368,273,61.3,20.85,Australia,38.45,-1095,-80.04,2,-63.35,0.02,-0.08
"Engineer, Agricultural",It,Decreasing,Low,37088.41,Associate Degree,2,752,4694,31.9,29.9,Uk,22.92,3942,524.2,1,367.47,0.06,2.32
Immunologist,Healthcare,Decreasing,High,30400.78,Phd,12,2679,8511,25.83,57.27,Brazil,23.89,5832,217.69,3,93.02,0.0,1.0
Forensic Psychologist,Retail,Decreasing,High,104144.14,High School,19,4219,1543,35.94,48.24,Germany,72.29,-2676,-63.43,3,-32.83,0.62,0.09
Barista,Manufacturing,Increasing,Moderate,99795.62,Phd,15,7689,9339,88.42,72.42,India,62.06,1650,21.46,2,5.92,0.58,0.34
Counsellor,Finance,Decreasing,Moderate,106361.89,Master’S Degree,3,6414,2737,99.39,88.26,Usa,24.49,-3677,-57.33,2,-6.73,0.64,-0.0
Data Scientist,Transportation,Increasing,Low,58568.09,High School,12,8150,1888,14.89,60.97,Canada,52.16,-6262,-76.83,1,-29.99,0.24,-0.12
Midwife,Retail,Increasing,High,47157.96,High School,1,4651,9786,74.35,11.22,Germany,56.39,5135,110.41,3,98.02,0.14,0.75
Communications Engineer,Transportation,Decreasing,High,127254.1,High School,10,2696,891,75.36,27.31,Uk,28.83,-1805,-66.95,3,-48.67,0.81,0.19
Mechanical Engineer,Entertainment,Increasing,Low,31487.74,Bachelor’S Degree,16,5421,9030,93.03,64.51,Usa,36.96,3609,66.57,1,23.63,0.01,0.38
Acupuncturist,Transportation,Decreasing,High,130797.18,Master’S Degree,1,2201,917,27.24,61.21,India,62.93,-1284,-58.34,3,-22.63,0.84,0.14
Research Scientist (Life Sciences),Healthcare,Decreasing,High,90036.76,Phd,2,5329,3044,36.02,77.05,India,39.58,-2285,-42.88,3,-9.84,0.5,0.05
"Psychologist, Occupational",It,Increasing,Low,145095.39,Bachelor’S Degree,16,6535,357,9.04,83.66,Canada,51.66,-6178,-94.54,1,-15.45,0.96,-0.04
"Engineer, Automotive",Finance,Decreasing,Low,60627.21,Master’S Degree,14,701,1455,90.4,11.43,Usa,55.22,754,107.56,1,95.27,0.26,0.77
Production Manager,Manufacturing,Decreasing,Low,87200.88,Bachelor’S Degree,8,5779,3698,13.89,49.28,India,67.54,-2081,-36.01,1,-18.26,0.48,0.15
Retail Buyer,It,Decreasing,Moderate,129791.59,Phd,4,3149,6892,48.0,58.47,China,39.26,3743,118.86,2,49.36,0.83,0.85
"Engineer, Civil (Contracting)",Entertainment,Decreasing,Low,128925.2,Phd,10,3628,8112,19.4,47.22,Canada,65.26,4484,123.59,1,65.23,0.82,0.9
"Therapist, Nutritional",Transportation,Decreasing,Low,104565.15,Bachelor’S Degree,9,6308,1853,60.04,26.17,Germany,34.58,-4455,-70.62,1,-52.14,0.62,0.13
"Engineer, Broadcasting (Operations)",Education,Decreasing,Moderate,118478.43,Associate Degree,4,2388,7003,86.88,16.5,China,66.31,4615,193.26,2,161.37,0.74,1.24
"Pilot, Airline",Retail,Decreasing,Low,55410.59,Associate Degree,16,4187,7263,15.73,51.54,Canada,29.42,3076,73.47,1,35.6,0.21,0.5
Training And Development Officer,Healthcare,Increasing,Moderate,108938.07,Master’S Degree,12,6742,6556,15.48,49.7,Germany,20.15,-186,-2.76,2,-1.39,0.66,0.34
Product Designer,Entertainment,Increasing,Low,76022.98,Associate Degree,18,1508,1929,43.43,63.3,Germany,70.33,421,27.92,1,10.25,0.38,0.34
Secretary/Administrator,Finance,Decreasing,Moderate,50334.43,High School,11,2577,4485,45.19,94.07,Australia,47.43,1908,74.04,2,4.39,0.17,0.36
Interpreter,Manufacturing,Decreasing,High,126127.87,Phd,12,2024,7943,20.57,56.18,Germany,37.2,5919,292.44,3,128.15,0.8,1.54
Musician,Retail,Decreasing,High,128356.6,Master’S Degree,15,8390,7925,34.15,97.25,Usa,37.8,-465,-5.54,3,-0.15,0.82,0.23
Colour Technologist,Healthcare,Decreasing,High,66382.68,Phd,20,2968,7361,53.9,92.67,Australia,39.48,4393,148.01,3,10.85,0.3,0.7
"Scientist, Research (Maths)",Healthcare,Increasing,Low,103223.51,High School,7,9911,4686,31.64,10.36,Germany,65.48,-5225,-52.72,1,-47.26,0.61,0.24
"Engineer, Maintenance (It)",Retail,Increasing,High,53956.14,Phd,4,5686,938,79.21,66.26,Brazil,64.29,-4748,-83.5,3,-28.17,0.2,-0.17
Commercial/Residential Surveyor,Transportation,Decreasing,High,35080.18,Phd,10,9313,8772,39.79,7.62,China,29.35,-541,-5.81,3,-5.37,0.04,0.27
Microbiologist,Manufacturing,Decreasing,Moderate,76159.21,High School,9,5138,8465,88.76,70.89,Canada,45.74,3327,64.75,2,18.85,0.38,0.46
It Technical Support Officer,Entertainment,Decreasing,Moderate,43672.72,Master’S Degree,20,1496,2985,10.25,56.84,Germany,41.26,1489,99.53,2,42.96,0.11,0.56
Naval Architect,Transportation,Decreasing,Moderate,42614.84,Master’S Degree,12,7919,3845,30.55,48.98,China,78.02,-4074,-51.45,2,-26.25,0.11,-0.02
Pensions Consultant,Transportation,Decreasing,Moderate,134436.51,Phd,9,4265,4953,89.6,12.91,Canada,77.66,688,16.13,2,14.05,0.87,0.59
Leisure Centre Manager,Transportation,Decreasing,Moderate,140256.91,Master’S Degree,5,1139,9162,56.99,44.38,India,74.67,8023,704.39,2,391.78,0.92,3.26
Mental Health Nurse,Finance,Increasing,Moderate,68312.32,Phd,5,6829,3570,70.37,67.76,Usa,30.64,-3259,-47.72,2,-15.39,0.32,0.0
Gaffer,Healthcare,Decreasing,Moderate,42619.14,High School,2,2853,4499,11.56,2.91,Uk,34.3,1646,57.69,2,56.01,0.11,0.55
Early Years Teacher,Education,Increasing,Low,64252.37,Associate Degree,5,905,9935,0.76,53.72,Germany,33.36,9030,997.79,1,461.78,0.29,4.22
Community Education Officer,Transportation,Increasing,Low,83780.78,Associate Degree,12,8394,6767,76.42,19.04,Brazil,22.96,-1627,-19.38,1,-15.69,0.45,0.3
"Psychologist, Clinical",Finance,Increasing,Moderate,52083.43,High School,16,1285,792,82.1,85.69,India,74.19,-493,-38.37,2,-5.49,0.18,-0.06
Gaffer,Entertainment,Decreasing,Low,36992.11,Master’S Degree,9,5863,4671,36.58,74.71,Usa,79.22,-1192,-20.33,1,-5.14,0.06,0.01
Environmental Manager,Entertainment,Increasing,Low,35648.08,Master’S Degree,10,5224,8647,61.0,98.88,Canada,34.63,3423,65.52,1,0.73,0.05,0.28
Water Quality Scientist,Entertainment,Increasing,High,42036.23,Bachelor’S Degree,11,6058,1735,61.27,6.42,India,63.43,-4323,-71.36,3,-66.78,0.1,0.03
"Horticulturist, Commercial",Finance,Decreasing,High,135256.82,Bachelor’S Degree,11,6241,1540,28.27,99.97,China,73.32,-4701,-75.32,3,-0.02,0.88,-0.04
Special Educational Needs Teacher,Education,Decreasing,Moderate,37128.85,Master’S Degree,3,3985,8145,72.33,93.35,Australia,28.18,4160,104.39,2,6.94,0.06,0.46
Make,Transportation,Increasing,High,33835.37,Associate Degree,3,7633,4686,76.79,60.13,Uk,78.07,-2947,-38.61,3,-15.39,0.03,-0.03
